MT	16775	54	60	61
W	6813114	17163	60	61
Z	82529921	6943884	60	61
1	197608386	90849360	60	61
2	149682049	291751276	60	61
3	110838418	443928082	60	61
4	91315245	556613862	60	61
5	59809098	649451083	60	61
6	36374701	710257055	60	61
7	36742308	747238057	60	61
8	30219446	784592792	60	61
9	24153086	815315951	60	61
10	21119840	839871646	60	61
11	20200042	861343541	60	61
12	20387278	881880308	60	61
13	19166714	902607431	60	61
14	16219308	922093648	60	61
15	13062184	938583335	60	61
16	2844601	951863279	60	61
17	10762512	954755348	60	61
18	11373140	965697293	60	61
19	10323212	977260043	60	61
20	13897287	987755366	60	61
21	6844979	1001884331	60	61
22	5459462	1008843449	60	61
23	6149580	1014393959	60	61
24	6491222	1020646088	60	61
25	3980610	1027245554	60	61
26	6055710	1031292564	60	61
27	8080432	1037449259	60	61
28	5116882	1045664421	60	61
30	1818525	1050866641	60	61
31	6153034	1052715531	60	61
32	725831	1058971171	60	61
33	7821666	1059709156	60	61
KZ626839.1	2023903	1067661252	60	61
KZ626837.1	2003471	1069718955	60	61
KZ626838.1	1977309	1071755886	60	61
KZ626835.1	1222195	1073766219	60	61
KZ626836.1	900507	1075008851	60	61
KZ626833.1	696307	1075924434	60	61
KZ626834.1	665899	1076632414	60	61
KZ626831.1	468536	1077309479	60	61
KZ626832.1	199634	1077785891	60	61
KZ626829.1	177577	1077988920	60	61
KZ626819.1	149503	1078169524	60	61
KZ626830.1	94788	1078321585	60	61
KZ626827.1	61939	1078418019	60	61
KZ626828.1	53716	1078481057	60	61
AADN05001291.1	52554	1078535743	60	61
KZ626826.1	48347	1078589239	60	61
AADN05001235.1	42067	1078638466	60	61
AADN05001385.1	39545	1078681309	60	61
AADN05001349.1	34471	1078721588	60	61
AADN05001188.1	34291	1078756708	60	61
AADN05001187.1	33802	1078791645	60	61
KZ626824.1	33731	1078826077	60	61
AADN05001513.1	33531	1078860445	60	61
AADN05001353.1	33083	1078894609	60	61
AADN05000202.1	33030	1078928318	60	61
AADN05001371.1	30818	1078961973	60	61
AADN05001420.1	30439	1078993379	60	61
AADN05001193.1	30225	1079024400	60	61
AADN05001498.1	30157	1079055203	60	61
AADN05001414.1	29697	1079085937	60	61
AADN05000531.1	28243	1079116203	60	61
AADN05001370.1	28212	1079144991	60	61
AADN05000525.1	27963	1079173748	60	61
AADN05001329.1	27830	1079202252	60	61
AADN05001466.1	27808	1079230620	60	61
AADN05001240.1	27130	1079258966	60	61
AADN05001306.1	27104	1079286623	60	61
AADN05001220.1	26960	1079314253	60	61
AADN05001219.1	26595	1079341737	60	61
AADN05001361.1	26310	1079368850	60	61
AADN05001399.1	26298	1079395673	60	61
AADN05001393.1	26150	1079422484	60	61
AADN05001400.1	26131	1079449144	60	61
AADN05001292.1	25700	1079475785	60	61
AADN05001357.1	25466	1079501988	60	61
AADN05001476.1	25409	1079527953	60	61
AADN05001287.1	25301	1079553860	60	61
AADN05001464.1	24712	1079579657	60	61
AADN05001432.1	24315	1079604855	60	61
AADN05001241.1	24179	1079629650	60	61
AADN05001518.1	24105	1079654306	60	61
AADN05001504.1	23907	1079678887	60	61
AADN05001221.1	23766	1079703267	60	61
AADN05001307.1	23748	1079727504	60	61
AADN05001423.1	23209	1079751722	60	61
AADN05001288.1	23190	1079775392	60	61
AADN05001326.1	22982	1079799043	60	61
AADN05001424.1	22964	1079822483	60	61
AADN05001460.1	22641	1079845904	60	61
AADN05001222.1	22621	1079868997	60	61
AADN05001405.1	22381	1079892070	60	61
AADN05001505.1	22379	1079914899	60	61
AADN05001390.1	22289	1079937725	60	61
AADN05001172.1	21751	1079960460	60	61
AADN05001330.1	21699	1079982648	60	61
AADN05001350.1	21677	1080004783	60	61
AADN05001223.1	21586	1080026896	60	61
AADN05001224.1	21580	1080048916	60	61
AADN05001290.1	21511	1080070930	60	61
AADN05001343.1	21427	1080092874	60	61
AADN05001355.1	21266	1080114733	60	61
AADN05001145.1	20717	1080136428	60	61
AADN05001227.1	20496	1080157565	60	61
AADN05001250.1	20494	1080178477	60	61
AADN05001483.1	20270	1080199387	60	61
AADN05001467.1	19928	1080220069	60	61
AADN05001293.1	19903	1080240404	60	61
AADN05001433.1	19850	1080260713	60	61
AADN05001425.1	19721	1080280968	60	61
AADN05001275.1	19536	1080301092	60	61
AADN05001461.1	19471	1080321028	60	61
AADN05001434.1	19204	1080340898	60	61
AADN05001422.1	19095	1080360497	60	61
AADN05001482.1	19032	1080379985	60	61
AADN05001197.1	18989	1080399409	60	61
AADN05001160.1	18922	1080418789	60	61
AADN05001217.1	18845	1080438101	60	61
AADN05001202.1	18705	1080457335	60	61
AADN05001366.1	18507	1080476426	60	61
AADN05001503.1	18412	1080495316	60	61
AADN05001496.1	18344	1080514109	60	61
AADN05001416.1	18101	1080532833	60	61
AADN05001323.1	18034	1080551310	60	61
AADN05001435.1	18028	1080569719	60	61
AADN05001412.1	17442	1080588122	60	61
AADN05001478.1	17402	1080605929	60	61
AADN05001468.1	17321	1080623696	60	61
AADN05001308.1	17237	1080641380	60	61
AADN05001237.1	17224	1080658979	60	61
AADN05001506.1	17217	1080676565	60	61
AADN05001377.1	17007	1080694143	60	61
AADN05001264.1	16505	1080711508	60	61
AADN05001225.1	16464	1080728363	60	61
AADN05001436.1	16320	1080745176	60	61
AADN05001331.1	16245	1080761842	60	61
AADN05001348.1	16233	1080778432	60	61
AADN05001267.1	16157	1080795010	60	61
AADN05001497.1	16140	1080811511	60	61
AADN05001437.1	16129	1080827994	60	61
AADN05001372.1	16106	1080844466	60	61
AADN05001469.1	16043	1080860915	60	61
AADN05001378.1	16031	1080877300	60	61
AADN05001199.1	15929	1080893673	60	61
AADN05001289.1	15680	1080909942	60	61
AADN05001345.1	15663	1080925958	60	61
AADN05001312.1	15638	1080941957	60	61
AADN05001439.1	15587	1080957930	60	61
AADN05001214.1	15492	1080973851	60	61
AADN05001438.1	15438	1080989676	60	61
AADN05001233.1	15417	1081005446	60	61
AADN05001205.1	15387	1081021194	60	61
AADN05001226.1	15167	1081036912	60	61
AADN05001234.1	15134	1081052406	60	61
AADN05001271.1	15132	1081067867	60	61
AADN05001283.1	15049	1081083326	60	61
AADN05001389.1	15003	1081098700	60	61
AADN05001462.1	14810	1081114028	60	61
AADN05001191.1	14773	1081129159	60	61
AADN05001524.1	14715	1081144253	60	61
AADN05001302.1	14655	1081159288	60	61
AADN05001441.1	14613	1081174262	60	61
AADN05001440.1	14604	1081189193	60	61
AADN05001165.1	14494	1081204115	60	61
AADN05001459.1	14330	1081218925	60	61
AADN05001386.1	14298	1081233568	60	61
AADN05001319.1	14205	1081248179	60	61
AADN05001170.1	14131	1081262695	60	61
AADN05001167.1	14086	1081277136	60	61
AADN05001185.1	14047	1081291531	60	61
AADN05001477.1	13985	1081305887	60	61
AADN05001512.1	13913	1081320180	60	61
AADN05001410.1	13829	1081334399	60	61
AADN05001311.1	13798	1081348533	60	61
AADN05001402.1	13793	1081362635	60	61
AADN05001480.1	13691	1081376732	60	61
AADN05001255.1	13671	1081390726	60	61
AADN05001203.1	13599	1081404699	60	61
